0 verbose cli C:\Program Files\nodejs\node.exe C:\Program Files\nodejs\node_modules\npm\bin\npm-cli.js
1 info using npm@11.6.1
2 info using node@v24.11.0
3 silly config load:file:C:\Program Files\nodejs\node_modules\npm\npmrc
4 silly config load:file:C:\Users\user\Documents\Projects\CDS\cscn\.npm-cache\_cacache\tmp\git-cloneEhsUHu\.npmrc
5 silly config load:file:C:\Users\user\.npmrc
6 silly config load:file:C:\Users\user\AppData\Roaming\npm\etc\npmrc
7 verbose title npm install
8 verbose argv "install" "--force" "--cache" "C:\\Users\\user\\Documents\\Projects\\CDS\\cscn\\.npm-cache" "--prefer-offline" "false" "--prefer-online" "false" "--offline" "false" "--no-progress" "--no-save" "--no-audit" "--include" "dev" "--include" "peer" "--include" "optional" "--no-package-lock-only" "--no-dry-run"
9 verbose logfile logs-max:10 dir:C:\Users\user\Documents\Projects\CDS\cscn\.npm-cache\_logs\2026-05-22T00_14_05_870Z-
10 verbose logfile C:\Users\user\Documents\Projects\CDS\cscn\.npm-cache\_logs\2026-05-22T00_14_05_870Z-debug-0.log
11 warn using --force Recommended protections disabled.
12 silly logfile done cleaning log files
13 silly packumentCache heap:2348810240 maxSize:587202560 maxEntrySize:293601280
14 silly idealTree buildDeps
15 silly reify moves {}
16 http cache zx@https://registry.npmjs.org/zx/-/zx-6.2.4.tgz 20ms (cache hit)
17 http cache which@https://registry.npmjs.org/which/-/which-2.0.2.tgz 0ms (cache hit)
18 http cache slash@https://registry.npmjs.org/slash/-/slash-4.0.0.tgz 0ms (cache hit)
19 http cache chalk@https://registry.npmjs.org/chalk/-/chalk-5.0.1.tgz 0ms (cache hit)
20 http cache globby@https://registry.npmjs.org/globby/-/globby-13.1.1.tgz 0ms (cache hit)
21 http cache @types/node@https://registry.npmjs.org/@types/node/-/node-17.0.41.tgz 0ms (cache hit)
22 http cache yn@https://registry.npmjs.org/yn/-/yn-3.1.1.tgz 0ms (cache hit)
23 http cache yaml@https://registry.npmjs.org/yaml/-/yaml-2.1.1.tgz 1ms (cache hit)
24 http cache yallist@https://registry.npmjs.org/yallist/-/yallist-4.0.0.tgz 0ms (cache hit)
25 http cache xtend@https://registry.npmjs.org/xtend/-/xtend-4.0.2.tgz 1ms (cache hit)
26 http cache web-streams-polyfill@https://registry.npmjs.org/web-streams-polyfill/-/web-streams-polyfill-3.2.1.tgz 0ms (cache hit)
27 http cache wrappy@https://registry.npmjs.org/wrappy/-/wrappy-1.0.2.tgz 0ms (cache hit)
28 http cache vfile@https://registry.npmjs.org/vfile/-/vfile-4.2.1.tgz 0ms (cache hit)
29 http cache verror@https://registry.npmjs.org/verror/-/verror-1.10.0.tgz 0ms (cache hit)
30 http cache core-util-is@https://registry.npmjs.org/core-util-is/-/core-util-is-1.0.2.tgz 0ms (cache hit)
31 http cache uuid@https://registry.npmjs.org/uuid/-/uuid-3.4.0.tgz 0ms (cache hit)
32 http cache vfile-message@https://registry.npmjs.org/vfile-message/-/vfile-message-2.0.4.tgz 0ms (cache hit)
33 http cache v8-compile-cache-lib@https://registry.npmjs.org/v8-compile-cache-lib/-/v8-compile-cache-lib-3.0.1.tgz 0ms (cache hit)
34 http cache uri-js@https://registry.npmjs.org/uri-js/-/uri-js-4.4.1.tgz 0ms (cache hit)
35 http cache unist-util-visit-parents@https://registry.npmjs.org/unist-util-visit-parents/-/unist-util-visit-parents-3.1.1.tgz 0ms (cache hit)
36 http cache util-deprecate@https://registry.npmjs.org/util-deprecate/-/util-deprecate-1.0.2.tgz 0ms (cache hit)
37 http cache universalify@https://registry.npmjs.org/universalify/-/universalify-2.0.0.tgz 0ms (cache hit)
38 http cache unist-util-visit@https://registry.npmjs.org/unist-util-visit/-/unist-util-visit-2.0.3.tgz 0ms (cache hit)
39 http cache unist-util-stringify-position@https://registry.npmjs.org/unist-util-stringify-position/-/unist-util-stringify-position-2.0.3.tgz 0ms (cache hit)
40 http cache unist-util-generated@https://registry.npmjs.org/unist-util-generated/-/unist-util-generated-1.1.6.tgz 0ms (cache hit)
41 http cache unist-util-position@https://registry.npmjs.org/unist-util-position/-/unist-util-position-3.1.0.tgz 0ms (cache hit)
42 http cache unist-util-is@https://registry.npmjs.org/unist-util-is/-/unist-util-is-4.1.0.tgz 0ms (cache hit)
43 http cache unist-builder@https://registry.npmjs.org/unist-builder/-/unist-builder-2.0.3.tgz 0ms (cache hit)
44 http cache typescript@https://registry.npmjs.org/typescript/-/typescript-4.7.3.tgz 0ms (cache hit)
45 http cache unified@https://registry.npmjs.org/unified/-/unified-9.2.2.tgz 0ms (cache hit)
46 http cache undici@https://registry.npmjs.org/undici/-/undici-5.28.4.tgz 0ms (cache hit)
47 http cache tunnel-agent@https://registry.npmjs.org/tunnel-agent/-/tunnel-agent-0.6.0.tgz 0ms (cache hit)
48 http cache ts-node@https://registry.npmjs.org/ts-node/-/ts-node-10.8.1.tgz 0ms (cache hit)
49 http cache trough@https://registry.npmjs.org/trough/-/trough-1.0.5.tgz 0ms (cache hit)
50 http cache tweetnacl@https://registry.npmjs.org/tweetnacl/-/tweetnacl-0.14.5.tgz 0ms (cache hit)
51 http cache through2@https://registry.npmjs.org/through2/-/through2-3.0.2.tgz 0ms (cache hit)
52 http cache tough-cookie@https://registry.npmjs.org/tough-cookie/-/tough-cookie-2.5.0.tgz 0ms (cache hit)
53 http cache supports-color@https://registry.npmjs.org/supports-color/-/supports-color-7.2.0.tgz 0ms (cache hit)
54 http cache safe-buffer@https://registry.npmjs.org/safe-buffer/-/safe-buffer-5.1.2.tgz 0ms (cache hit)
55 http cache through@https://registry.npmjs.org/through/-/through-2.3.8.tgz 0ms (cache hit)
56 http cache stringify-entities@https://registry.npmjs.org/stringify-entities/-/stringify-entities-3.1.0.tgz 0ms (cache hit)
57 http cache string_decoder@https://registry.npmjs.org/string_decoder/-/string_decoder-1.1.1.tgz 0ms (cache hit)
58 http cache stream-combiner@https://registry.npmjs.org/stream-combiner/-/stream-combiner-0.2.2.tgz 0ms (cache hit)
59 http cache stealthy-require@https://registry.npmjs.org/stealthy-require/-/stealthy-require-1.1.1.tgz 0ms (cache hit)
60 http cache to-regex-range@https://registry.npmjs.org/to-regex-range/-/to-regex-range-5.0.1.tgz 0ms (cache hit)
61 http cache stack-utils@https://registry.npmjs.org/stack-utils/-/stack-utils-2.0.6.tgz 0ms (cache hit)
62 http cache sprintf-js@https://registry.npmjs.org/sprintf-js/-/sprintf-js-1.0.3.tgz 0ms (cache hit)
63 http cache sshpk@https://registry.npmjs.org/sshpk/-/sshpk-1.17.0.tgz 0ms (cache hit)
